DateTime,Entries,UniqueIPs
1487577406,5904,5904
1487578104,5914,5914
1487578360,5914,5914
1487579052,5916,5916
1487579421,5921,5921
1487580010,5935,5935
1487580515,5941,5941
1487580994,5930,5930
1487581464,5928,5928
1487581956,5943,5943
1487582431,5945,5945
1487582907,5952,5952
1487583392,5953,5953
1487583860,5948,5948
1487584353,5950,5950
1487584894,5964,5964
1487585305,5966,5966
1487586032,5964,5964
1487586257,5972,5972
1487586996,5969,5969
1487587221,5966,5966
1487587953,5957,5957
1487588175,5959,5959
1487588930,5982,5982
1487589152,5980,5980
1487589872,5955,5955
1487590099,5954,5954
1487590838,5960,5960
1487591048,5967,5967
1487591792,5958,5958
1487592108,5955,5955
1487593035,5957,5957
1487593961,5968,5968
1487594908,5961,5961
1487596113,5976,5976
1487597070,5978,5978
1487598034,5973,5973
1487599004,5963,5963
1487599959,5973,5973
1487600917,5959,5959
1487601863,5979,5979
1487602910,6000,6000
1487603831,6002,6002
1487604763,6020,6020
1487605722,6021,6021
1487606668,6028,6028
1487607625,6046,6046
1487608594,6047,6047
1487609556,6050,6050
1487610508,6075,6075
1487611474,6061,6061
1487612434,6052,6052
1487613403,6041,6041
1487614359,6063,6063
1487615316,6032,6032
1487616262,6063,6063
1487617306,6134,6134
1487618414,6143,6143
1487619392,6128,6128
1487620335,6203,6203
1487621298,6191,6191
1487622260,6253,6253
1487623217,6246,6246
1487624176,6280,6280
1487625152,6283,6283
1487626096,6282,6282
1487627052,6292,6292
1487628099,6292,6292
1487629223,6294,6294
1487630184,6293,6293
1487631153,6260,6260
1487632107,6254,6254
1487633081,6240,6240
1487634032,6237,6237
1487634997,6228,6228
1487635969,6228,6228
1487636922,6259,6259
1487637866,6222,6222
1487638915,6226,6226
1487640015,6232,6232
1487640985,6254,6254
1487641939,6224,6224
1487642905,6253,6253
1487643864,6249,6249
1487644822,6244,6244
1487645775,6234,6234
1487646771,6243,6243
1487647710,6257,6257
1487648666,6269,6269
1487649707,6271,6271
1487650827,6286,6286
1487651793,6278,6278
1487652737,6289,6289
1487653706,6308,6308
1487654659,6311,6311
1487655628,6313,6313
1487656586,6297,6297
1487657574,6308,6308
1487658509,6302,6302
1487659466,6313,6313
1487660510,6311,6311
1487661620,6301,6301
1487662586,6279,6279
1487663536,6297,6297
1487664512,6276,6276
1487665460,6279,6279
1487666529,6289,6289
1487667750,6301,6301
1487668824,6306,6306
1487669785,6307,6307
1487670745,6313,6313
1487671697,6307,6307
1487672663,6304,6304
1487673623,6321,6321
1487674584,6292,6292
1487675561,6314,6314
1487676514,6308,6308
1487677462,6319,6319
1487678704,6317,6317
1487679642,6335,6335
1487680600,6339,6339
1487681556,6341,6341
1487682507,6371,6371
1487683452,6390,6390
1487684423,6416,6416
1487685384,6418,6418
1487686351,6410,6410
1487687321,6367,6367
1487688265,6346,6346
1487689405,6348,6348
1487690412,6354,6354
1487691386,6354,6354
1487692341,6347,6347
1487693308,6354,6354
1487694251,6364,6364
1487695259,6378,6378
1487696185,6397,6397
1487697157,6414,6414
1487698122,6427,6427
1487699064,6418,6418
1487700100,6415,6415
1487701241,6419,6419
1487702185,6419,6419
1487703144,6397,6397
1487704114,6383,6383
1487705054,6383,6383
1487706026,6391,6391
1487706998,6392,6392
1487707953,6379,6379
1487708921,6344,6344
1487709874,6280,6280
1487710908,6231,6231
1487712021,6221,6221
1487712985,6201,6201
1487713944,6191,6191
1487714907,6186,6186
1487715852,6193,6193
1487716814,6192,6192
1487717790,6195,6195
1487718748,6201,6201
1487719705,6197,6197
1487720660,6226,6226
1487721684,6237,6237
1487722595,6227,6227
1487723566,6228,6228
1487724506,6223,6223
1487725469,6222,6222
1487726431,6229,6229
1487727401,6222,6222
1487728356,6217,6217
1487729317,6214,6214
1487730259,6246,6246
1487731225,6240,6240
1487732189,6240,6240
1487733150,6266,6266
1487734113,6234,6234
1487735062,6271,6271
1487736088,6280,6280
1487737245,6277,6277
1487738191,6293,6293
1487739160,6267,6267
1487740107,6270,6270
1487741056,6305,6305
1487742031,6293,6293
1487742993,6281,6281
1487743955,6302,6302
1487744929,6278,6278
1487745876,6263,6263
1487746910,6284,6284
1487748021,6291,6291
1487748988,6280,6280
1487749935,6313,6313
1487750918,6302,6302
1487751852,6324,6324
1487752824,6315,6315
1487753789,6309,6309
1487754763,6320,6320
1487755712,6309,6309
1487756674,6322,6322
1487757698,6353,6353
1487758842,6345,6345
1487759787,6333,6333
1487760757,6354,6354
1487761708,6344,6344
1487762651,6345,6345
1487763615,6341,6341
1487764620,6327,6327
1487765549,6304,6304
1487766519,6314,6314
1487767470,6321,6321
1487768515,6331,6331
1487769631,6331,6331
1487770602,6335,6335
1487771559,6347,6347
1487772504,6336,6336
1487773450,6354,6354
1487774421,6358,6358
1487775395,6353,6353
1487776350,6350,6350
1487777304,6355,6355
1487778280,6349,6349
1487779300,6355,6355
1487780423,6372,6372
1487781385,6348,6348
1487782343,6359,6359
1487783314,6345,6345
1487784253,6337,6337
1487785225,6357,6357
1487786191,6348,6348
1487787148,6355,6355
1487788118,6359,6359
1487789068,6359,6359
1487790092,6367,6367
1487791242,6370,6370
1487792203,6356,6356
1487793151,6365,6365
1487794131,6366,6366
1487795053,6359,6359
1487796031,6359,6359
1487796992,6357,6357
1487798002,6360,6360
1487799165,6372,6372
1487800127,6360,6360
1487801078,6372,6372
1487802034,6378,6378
1487802997,6374,6374
1487803947,6373,6373
1487804910,6363,6363
1487805859,6354,6354
1487806814,6347,6347
1487807777,6317,6317
1487808750,6323,6323
1487809715,6328,6328
1487810664,6325,6325
1487811709,6321,6321
1487812820,6340,6340
1487813775,6326,6326
1487814758,6302,6302
1487815704,6330,6330
1487816651,6337,6337
1487817622,6355,6355
1487818581,6356,6356
1487819551,6351,6351
1487820505,6379,6379
1487821460,6359,6359
1487822483,6350,6350
1487823385,6336,6336
1487824353,6350,6350
1487825376,6359,6359
1487826498,6372,6372
1487827459,6339,6339
1487828416,6365,6365
1487829393,6372,6372
1487830356,6336,6336
1487831317,6350,6350
1487832270,6356,6356
1487833317,6317,6317
1487834440,6333,6333
1487835385,6355,6355
1487836355,6322,6322
1487837305,6350,6350
1487838271,6317,6317
1487839223,6352,6352
1487840191,6323,6323
1487841189,6341,6341
1487842117,6329,6329
1487843063,6369,6369
1487844145,6337,6337
1487845219,6366,6366
1487846187,6365,6365
1487847143,6372,6372
1487848108,6357,6357
1487849055,6316,6316
1487850030,6333,6333
1487850980,6352,6352
1487851962,6356,6356
1487852918,6382,6382
1487853866,6376,6376
1487854912,6368,6368
1487856028,6386,6386
1487856976,6378,6378
1487857945,6369,6369
1487858903,6378,6378
1487859852,6366,6366
1487860830,6373,6373
1487861791,6397,6397
1487862750,6399,6399
1487863717,6369,6369
1487864672,6402,6402
1487865702,6376,6376
1487866837,6406,6406
1487867795,6397,6397
1487868757,6424,6424
1487869704,6449,6449
1487870935,6445,6445
