DateTime,Entries,UniqueIPs
1478712605,43676,43676
1478734297,42797,42797
1478755808,43335,43335
1478777439,43615,43615
1478799004,43914,43914
1478820704,43178,43178
1478842205,43554,43554
1478863857,43674,43674
1478885405,44178,44178
1478907089,43308,43308
1478928605,43739,43739
1478950312,43998,43998
1478971805,44427,44427
1478993579,44022,44022
1479015004,44357,44357
1479036649,44799,44799
1479058207,45697,45697
1479079975,45320,45320
1479101405,45722,45722
1479123053,45844,45844
1479144605,45976,45976
1479166297,45549,45549
1479187804,46355,46355
1479209440,46663,46663
1479231004,47095,47095
1479252645,46715,46715
1479274205,47574,47574
1479295841,47900,47900
1479317405,47930,47930
1479339227,49112,49112
1479360605,49665,49665
1479382252,49851,49851
1479403805,50180,50180
1479425618,48482,48482
1479447005,48707,48707
1479468658,48944,48944
1479490206,49537,49537
1479511970,49091,49091
1479533405,49113,49113
1479555062,49127,49127
1479576605,49138,49138
1479598341,48303,48303
1479619805,48322,48322
1479641446,48338,48338
1479663005,48522,48522
1479684729,47639,47639
1479706205,47653,47653
1479727856,47668,47668
1479748342,47674,47674
1479857353,49757,49757
1479945348,49688,49688
1480032603,50195,50195
1480119665,49120,49120
1480207189,47921,47921
1480295271,47065,47065
1480381906,46125,46125
1480468130,46561,46561
1480563549,43998,43998
1480649845,42553,42553
1480736262,41201,41201
1480822926,40187,40187
1480909361,38284,38284
1480996340,36010,36010
1481082404,35372,35372
1481168910,34822,34822
1481255098,35335,35335
1481343405,30092,30092
1481429716,30684,30684
1481539535,31427,31427
1481626923,28692,28692
1481714636,27947,27947
1481800947,27180,27180
1481887335,27890,27890
1481975208,28369,28369
1482063288,28696,28696
1482149695,29448,29448
1482241534,29990,29990
1482327846,30422,30422
1482435856,32250,32250
1482457479,32294,32294
1482479077,32386,32386
1482500649,32478,32478
1482522256,32818,32818
1482543876,32887,32887
1482565457,33293,33293
1482587041,33403,33403
1482608637,33787,33787
1482630321,33925,33925
1482651872,34203,34203
1482669855,34348,34348
1482691484,34835,34835
1482713075,35050,35050
1482734660,35344,35344
1482756257,35390,35390
1482777969,35933,35933
1482799470,36388,36388
1482821075,36513,36513
1482842808,36745,36745
1482864277,36958,36958
1482885884,37089,37089
1482907501,37509,37509
1482929060,37654,37654
1482950682,38008,38008
1482972270,37497,37497
1482993916,37871,37871
1483015452,38025,38025
1483037058,38556,38556
1483058701,38654,38654
1483080290,38852,38852
1483101927,38995,38995
1483123509,39528,39528
1483145092,39345,39345
1483166747,39757,39757
1483188282,39915,39915
1483209872,40219,40219
1483231464,40229,40229
1483253067,40587,40587
1483274647,40823,40823
1483296290,41267,41267
1483317907,41357,41357
1483339494,41674,41674
1483361175,41840,41840
1483382666,42352,42352
1483404306,42442,42442
1483425879,42611,42611
1483447513,42754,42754
1483469187,42915,42915
1483490904,43604,43604
1483512347,43949,43949
1483534094,44117,44117
1483552532,44576,44576
1483574412,44540,44540
1483595091,44855,44855
1483617118,45111,45111
1483638344,45149,45149
1483659337,45039,45039
1483679707,45491,45491
1483699535,45721,45721
1483721092,45882,45882
1483742857,46055,46055
1483764290,46493,46493
1483785928,46710,46710
1483807495,47207,47207
1483829331,47076,47076
1483850693,47210,47210
1483872327,47559,47559
1483893918,47802,47802
1483915494,47891,47891
1483937089,48480,48480
1483958762,48559,48559
1483980640,48993,48993
1484001946,49444,49444
1484023633,49840,49840
1484045130,50150,50150
1484066940,50361,50361
1484088389,50177,50177
1484109938,50613,50613
1484131509,50855,50855
1484153142,51162,51162
1484174766,51150,51150
1484196323,51525,51525
1484217953,51782,51782
1484239497,52045,52045
1484261189,51735,51735
1484282706,51910,51910
1484304326,52159,52159
1484325909,52311,52311
1484347581,52230,52230
1484369106,52535,52535
1484390785,52635,52635
1484412360,52910,52910
1484433902,52891,52891
1484455705,53202,53202
1484477099,53281,53281
1484498714,53516,53516
1484520298,53366,53366
1484541953,53696,53696
1484563554,53839,53839
1484585092,53959,53959
1484606803,53134,53134
1484621156,53413,53413
1484642775,53599,53599
1484664316,53759,53759
1484685895,53870,53870
1484707508,53601,53601
1484729089,53793,53793
1484750748,53899,53899
1484772343,54248,54248
1484794027,54270,54270
1484815523,54404,54404
1484837122,54478,54478
1484858836,54703,54703
1484880437,54369,54369
1484901967,54424,54424
1484923554,54634,54634
1484945167,54757,54757
1484966778,54213,54213
1484988358,54363,54363
1485010039,54439,54439
1485031553,54539,54539
1485053242,53796,53796
1485074774,53929,53929
1485096378,53990,53990
1485114319,54188,54188
1485135907,54312,54312
1485157481,54539,54539
1485179164,54606,54606
1485200726,54675,54675
1485222319,53642,53642
1485243899,53839,53839
1485261939,53944,53944
1485283568,54055,54055
1485305161,53507,53507
1485326720,53671,53671
1485359138,53767,53767
1485380692,53907,53907
1485402443,53471,53471
1485424109,53574,53574
1485445525,53663,53663
1485467321,53916,53916
1485489003,52721,52721
1485510299,52833,52833
1485531957,53054,53054
1485553493,53252,53252
1485575217,52551,52551
1485596724,52808,52808
1485618316,52935,52935
1485639902,53043,53043
1485661697,52169,52169
1485704770,52420,52420
1485726276,52689,52689
1485746705,52066,52066
1485767729,52194,52194
1485810926,52524,52524
1485832541,52399,52399
1485854112,52445,52445
1485875707,52563,52563
1485897272,52711,52711
1485918897,51093,51093
1485940515,51173,51173
1485962153,51608,51608
1485983738,51666,51666
1486005422,50933,50933
1486026945,51086,51086
1486048624,51236,51236
1486070086,51444,51444
1486091686,51484,51484
1486113306,51655,51655
1486134900,51804,51804
1486156522,52010,52010
1486178193,49854,49854
1486199711,49873,49873
1486221311,49905,49905
1486242898,49925,49925
1486264776,48591,48591
1486286088,48719,48719
1486307782,48744,48744
1486329288,49149,49149
1486350908,48153,48153
1486372507,48222,48222
1486394186,48306,48306
1486415697,48504,48504
1486437285,47505,47505
1486458932,47595,47595
1486480481,47825,47825
1486502149,48052,48052
1486523797,47249,47249
1486545297,47351,47351
1486566907,47479,47479
1486588493,47671,47671
1486610094,46685,46685
1486631691,46817,46817
1486651497,46980,46980
1486673120,47161,47161
1486694857,46515,46515
1486716306,46880,46880
1486738012,47048,47048
1486757757,47075,47075
1486779424,46249,46249
1486801139,46422,46422
1486822500,46503,46503
1486844109,46702,46702
1486865733,46869,46869
1486887341,47009,47009
1486908918,47145,47145
1486930509,47376,47376
1486952120,45601,45601
1486973701,45819,45819
1486995368,45939,45939
1487016921,46194,46194
1487038515,45020,45020
1487060153,45141,45141
1487081718,45412,45412
1487103363,45607,45607
1487124916,45444,45444
1487146523,45589,45589
1487168102,45703,45703
1487189740,45904,45904
1487211318,43987,43987
1487232937,44245,44245
1487254511,44407,44407
1487276214,44622,44622
1487297711,43892,43892
1487319345,43986,43986
1487340934,44115,44115
1487362520,44375,44375
1487384116,43144,43144
1487405715,43257,43257
1487427311,43326,43326
1487448910,43600,43600
1487470527,43705,43705
1487492166,43723,43723
1487513697,43787,43787
1487535303,43966,43966
1487556908,42428,42428
1487578529,42647,42647
1487600125,42765,42765
1487621703,43019,43019
1487643350,42753,42753
1487664916,42956,42956
1487686508,43043,43043
1487708104,43353,43353
1487729743,43024,43024
1487751312,43087,43087
1487772923,43264,43264
1487794525,43582,43582
1487816106,43237,43237
1487837712,43386,43386
1487859308,43527,43527
1487880892,43713,43713
1487902519,44016,44016
1487924118,44256,44256
1487943925,44328,44328
1487965499,44626,44626
1487987333,43935,43935
1488008718,44196,44196
