DateTime,AddedIPs,RemovedIPs
1486898253,224,238
1486902089,440,417
1486905893,358,360
1486909742,26,26
1486913739,8,12
1486917626,120,122
1486921465,423,419
1486925305,223,223
1486929164,12,14
1486937077,183,196
1486940942,389,373
1486945017,235,236
1486948852,18,22
1486952911,168,171
1486956753,420,422
1486960591,435,423
1486964450,158,163
1486968283,46,47
1486972100,96,100
1486975974,7,11
1486979783,238,246
1486983694,441,419
1486987570,437,440
1486991344,287,284
1486995434,26,28
1486999501,20,22
1487003311,261,261
1487007169,424,434
1487010989,426,412
1487014825,259,263
1487018659,102,106
1487022500,130,130
1487026346,291,284
1487030194,354,354
1487034097,274,272
1487037874,198,203
1487041740,191,187
1487045576,151,153
1487049660,443,442
1487053474,407,412
1487057314,279,285
1487061176,88,94
1487065010,15,18
1487068839,114,117
1487072999,397,378
1487076767,417,440
1487080591,276,267
1487084511,218,203
1487088540,126,124
1487092364,186,184
1487096184,328,328
1487100040,216,222
1487103870,7,9
1487107595,17,21
1487115143,332,342
1487119016,310,291
1487122859,92,92
1487126675,14,16
1487130529,13,22
1487134382,214,226
1487138205,336,322
1487142142,117,110
1487146138,6,14
1487154050,20,42
1487157870,162,174
1487161729,315,274
1487165560,356,363
1487169402,310,302
1487173236,51,55
1487177087,3,7
1487184759,261,270
1487188600,319,300
1487192506,125,126
1487196295,15,20
1487203969,75,85
1487207786,397,382
1487211649,370,372
1487215466,174,175
1487226995,126,139
1487230875,366,350
1487234664,345,346
1487238510,17,23
1487246210,12,28
1487253886,221,246
1487257743,437,387
1487261572,449,448
1487265418,444,446
1487269489,194,202
1487273323,11,14
1487277160,144,148
1487280990,220,239
1487284843,429,395
1487288668,419,418
1487292511,47,53
1487296347,49,63
1487300204,131,137
1487304104,340,320
1487307875,360,358
1487311716,123,131
1487315548,140,143
1487319391,5,18
1487323237,8,16
1487327070,3,16
1487330920,32,38
1487334766,411,356
1487338614,448,448
1487342452,428,434
1487346288,427,419
1487350128,441,441
1487353956,442,447
1487357794,405,404
1487361695,117,122
1487365473,83,92
1487369327,6,8
1487373163,369,358
1487376991,381,384
1487380830,220,223
1487384662,159,150
1487388520,115,115
1487392353,291,293
1487396195,436,433
1487400017,96,100
1487403874,5,9
1487407711,7,15
1487411564,27,38
1487415403,268,278
1487419320,439,400
1487423075,441,445
1487426936,402,417
1487430765,35,54
1487434601,9,21
1487438440,4,12
1487442256,342,318
1487446103,352,323
1487449957,41,49
1487453793,9,20
1487457647,6,16
1487461476,263,268
1487465311,365,329
1487469154,187,189
1487472992,17,24
1487476903,19,24
1487480670,131,143
1487484516,388,360
1487488348,316,319
1487492111,11,16
1487495813,16,30
1487499656,119,125
1487503493,350,333
1487507358,165,166
1487511258,15,21
1487515014,19,29
1487518843,197,190
1487522675,355,332
1487530357,8,447
1487534197,5,0
1487538109,161,0
1487542146,348,83
1487545976,206,207
1487550053,5,9
1487553880,18,28
1487557726,153,155
1487561566,344,321
1487565410,214,220
1487573099,17,32
1487576923,7,16
1487584613,426,394
1487588546,356,358
1487592720,417,417
1487596599,62,65
1487600453,77,81
1487604285,172,178
1487608131,172,179
1487611981,292,286
1487615822,300,293
1487619644,241,237
1487623481,37,47
1487627344,32,45
1487631170,83,92
1487635015,286,271
1487638933,408,387
1487642695,437,439
1487646518,202,203
1487650377,52,55
1487654204,137,143
1487658058,121,134
1487661890,167,157
1487665730,167,168
1487669573,68,63
1487673416,77,92
1487677234,130,142
1487681083,85,87
1487684921,10,24
1487688916,125,110
1487692612,100,90
1487696509,211,193
1487700539,180,176
1487704364,88,91
1487708196,104,107
1487712037,13,18
1487715870,11,33
1487719722,8,19
1487723584,63,70
1487727419,112,110
1487731246,167,160
1487735080,139,100
1487738907,46,50
1487742767,12,35
1487746605,4,19
1487750495,17,23
1487754284,4,18
1487761974,56,99
1487765803,331,235
1487769650,359,344
1487773468,350,345
1487777322,380,381
1487781172,435,431
1487784999,315,345
1487788833,362,338
1487792684,384,392
1487796512,430,418
1487800346,383,387
1487804201,390,394
1487807961,430,426
1487811731,390,391
1487815487,361,359
1487819328,423,418
1487823164,351,359
1487826999,420,437
1487830836,368,353
1487834686,352,348
1487838524,439,443
1487842362,348,342
1487846208,427,445
1487850048,395,379
1487853884,343,342
1487857727,351,349
1487861559,446,447
1487865398,346,348
1487869325,369,374
1487873333,355,353
1487877174,358,362
1487881280,381,376
1487885082,359,365
1487888952,361,350
