DateTime,Entries,UniqueIPs
1486580488,10,10
1486587687,11,11
1486591286,10,10
1486594889,8,8
1486598487,9,9
1486602081,8,8
1486609282,9,9
1486616481,7,7
1486620081,8,8
1486623681,7,7
1486627281,7,7
1486634482,9,9
1486638082,10,10
1486641682,10,10
1486645313,11,11
1486648896,10,10
1486652512,8,8
1486656082,9,9
1486659706,7,7
1486663282,9,9
1486666943,10,10
1486677681,8,8
1486684882,7,7
1486695681,8,8
1486699281,7,7
1486702881,8,8
1486706482,8,8
1486710081,7,7
1486720882,7,7
1486724481,8,8
1486731680,10,10
1486735281,11,11
1486738880,11,11
1486742481,10,10
1486746081,9,9
1486749682,8,8
1486753282,7,7
1486756881,8,8
1486767681,6,6
1486771282,7,7
1486774887,10,10
1486785687,11,11
1486789288,8,8
1486792887,9,9
1486796487,10,10
1486800087,9,9
1486803686,10,10
1486807288,11,11
1486810888,10,10
1486814487,11,11
1486818087,12,12
1486821687,11,11
1486825288,9,9
1486828886,9,9
1486832488,8,8
1486839688,11,11
1486843286,12,12
1486846888,10,10
1486850489,11,11
1486854087,11,11
1486857688,11,11
1486864887,12,12
1486875687,13,13
1486879287,11,11
1486882887,9,9
1486886487,8,8
1486890087,8,8
1486897287,9,9
1486900888,7,7
1486904487,9,9
1486911688,10,10
1486915287,9,9
1486918951,8,8
1486922614,9,9
1486926214,8,8
1486929688,8,8
1486933288,9,9
1486936887,9,9
1486944088,9,9
1486947689,10,10
1486951287,10,10
1486958487,10,10
1486962088,8,8
1486965687,10,10
1486972887,9,9
1486976486,10,10
1486980088,10,10
1486983688,9,9
1486987286,8,8
1486990887,7,7
1486994487,7,7
1486998090,8,8
1487005287,7,7
1487008886,7,7
1487012520,6,6
1487016087,5,5
1487019687,7,7
1487023287,7,7
1487034087,7,7
1487044887,8,8
1487048487,8,8
1487059798,8,8
1487063396,6,6
1487066997,7,7
1487070592,8,8
1487073880,10,10
1487077287,11,11
1487080888,10,10
1487084487,10,10
1487088087,8,8
1487091688,9,9
1487095288,10,10
1487099396,14,14
1487102682,12,12
1487106086,11,11
1487113288,8,8
1487116887,7,7
1487120488,8,8
1487124087,8,8
1487127687,10,10
1487134889,9,9
1487138487,11,11
1487142087,10,10
1487145687,9,9
1487149287,8,8
1487152888,9,9
1487156491,10,10
1487163687,11,11
1487167289,11,11
1487170888,10,10
1487174487,9,9
1487181695,6,6
1487185289,7,7
1487188886,8,8
1487196087,8,8
1487199688,7,7
1487203288,11,11
1487214081,11,11
1487217681,8,8
1487221283,10,10
1487224880,11,11
1487228481,10,10
1487232081,11,11
1487235682,9,9
1487242882,8,8
1487246481,8,8
1487250208,8,8
1487253808,7,7
1487257280,6,6
1487264481,7,7
1487268081,6,6
1487275281,8,8
1487282481,9,9
1487286080,9,9
1487289683,9,9
1487296881,7,7
1487300482,9,9
1487304082,11,11
1487307680,10,10
1487311283,11,11
1487314880,10,10
1487318481,8,8
1487322081,8,8
1487325681,7,7
1487332881,7,7
1487336481,8,8
1487340082,9,9
1487343681,11,11
1487350881,10,10
1487354481,9,9
1487358081,8,8
1487365281,8,8
1487368881,9,9
1487372481,8,8
1487379686,7,7
1487383287,8,8
1487386887,9,9
1487390488,11,11
1487394087,10,10
1487397686,10,10
1487401287,10,10
1487404887,8,8
1487408487,9,9
1487412088,9,9
1487419286,8,8
1487422887,8,8
1487426488,10,10
1487430087,11,11
1487433686,12,12
1487440885,12,12
1487444487,11,11
1487451687,12,12
1487455288,11,11
1487458888,9,9
1487462487,10,10
1487466087,8,8
1487476887,8,8
1487480487,9,9
1487484088,11,11
1487494886,10,10
1487498486,9,9
1487502088,9,9
1487505688,10,10
1487509287,10,10
1487512886,11,11
1487516488,10,10
1487520088,10,10
1487523687,11,11
1487527287,10,10
1487534488,11,11
1487538088,9,9
1487545288,9,9
1487548889,10,10
1487552486,9,9
1487559688,10,10
1487566887,10,10
1487570487,11,11
1487574086,12,12
1487577687,11,11
1487584887,10,10
1487588487,8,8
1487595688,9,9
1487599288,8,8
1487602886,9,9
1487606488,11,11
1487610087,10,10
1487613686,11,11
1487617288,12,12
1487620887,11,11
1487624486,11,11
1487628089,10,10
1487635288,11,11
1487638888,9,9
1487642487,10,10
1487646088,8,8
1487649688,9,9
1487656888,11,11
1487660487,9,9
1487664087,11,11
1487671287,11,11
1487674886,11,11
1487682087,12,12
1487685688,10,10
1487689287,9,9
1487692889,9,9
1487696487,9,9
1487703686,9,9
1487707287,8,8
1487710887,7,7
1487714487,9,9
1487718087,8,8
1487721688,9,9
1487725287,10,10
1487728886,9,9
1487732487,11,11
1487736089,11,11
1487743288,11,11
1487746888,10,10
1487750488,9,9
1487754089,8,8
1487757687,9,9
1487761288,11,11
1487764887,11,11
1487768487,10,10
1487772089,13,13
1487775688,12,12
1487779288,13,13
1487782887,14,14
1487786490,12,12
1487790088,10,10
1487793687,11,11
1487797286,12,12
1487800888,12,12
1487804486,12,12
1487808087,10,10
1487811682,12,12
1487815280,10,10
1487818882,11,11
1487822481,13,13
1487826081,12,12
1487833281,10,10
1487836880,8,8
1487840481,9,9
1487844081,9,9
1487847682,10,10
1487854881,10,10
1487858481,11,11
1487862081,10,10
1487865681,9,9
1487869280,8,8
1487872881,7,7
1487876480,9,9
1487880081,10,10
1487883682,11,11
1487890881,11,11
1487894480,11,11
1487898080,11,11
1487901680,12,12
1487905280,14,14
1487908882,13,13
1487912481,13,13
1487916080,12,12
1487923281,11,11
1487926881,10,10
1487930481,8,8
1487937680,10,10
1487944881,9,9
1487948481,8,8
1487952590,9,9
1487955681,10,10
1487962882,9,9
1487966481,9,9
1487970081,9,9
1487973682,10,10
1487977281,9,9
1487980882,9,9
1487984488,10,10
1487988088,12,12
