DateTime,AddedIPs,RemovedIPs
1482354554,0,1
1482365352,1,0
1482368949,17,0
1482379751,1,17
1482383354,0,1
1482390583,1,0
1482394146,0,2
1482408540,0,1
1482415869,1,0
1482434253,0,1
1482455363,31,1
1482466134,0,25
1482469734,0,1
1482541728,15,0
1482552535,0,19
1482628147,11,0
1482631745,1,0
1482638935,0,15
1482646142,0,1
1482714551,10,0
1482718144,2,0
1482725336,0,31
1482800941,11,0
1482811746,0,16
1482815347,0,1
1482844166,0,1
1482887363,11,0
1482894553,0,1
1482898140,0,12
1482973757,31,0
1482984549,0,12
1482988173,0,2
1482998944,0,1
1483031781,1,0
1483060150,15,1
1483070929,0,10
1483074551,0,1
1483142954,21,0
1483146551,1,0
1483150157,2,0
1483153746,0,11
1483164559,0,1
1483175350,0,1
1483232952,12,0
1483236544,1,0
1483243735,0,29
1483250949,0,1
1483319347,22,0
1483330147,0,13
1483333760,0,1
1483402155,24,0
1483412951,0,21
1483416546,0,1
1483492157,9,0
1483495743,1,0
1483502947,0,10
1483510478,0,1
1483513799,0,1
1483517915,2,0
1483576043,25,0
1483582143,0,1
1483585743,0,20
1483589348,0,1
1483622518,0,2
1483628955,1,0
1483661386,25,0
1483668544,0,1
1483672142,0,24
1483675749,0,1
1483751348,22,0
1483754960,1,0
1483758549,1,0
1483762152,0,8
1483765728,0,1
1483780652,0,3
1483787926,1,0
1483798380,1,0
1483805561,0,1
1483809259,0,1
1483819759,1,0
1483834603,31,0
1483837749,1,0
1483844938,0,18
1483848546,1,2
1483855746,0,1
1483859347,1,1
1483870143,1,0
1483884540,0,1
1483888149,1,0
1483895345,1,1
1483898946,0,1
1483924125,18,0
1483934936,0,22
1483938534,1,0
1483960412,1,1
1483964220,1,0
1483967368,1,0
1483970933,0,1
1483978176,1,1
1483985346,0,1
1483988920,1,0
1484003343,0,1
1484006936,0,1
1484010556,21,1
1484014135,1,0
1484017732,0,1
1484021344,0,24
1484024938,0,3
1484096942,22,0
1484104161,2,0
1484107767,0,31
1484118585,0,1
1484136558,1,0
1484147355,0,1
1484183340,21,0
1484186941,2,0
1484194143,0,20
1484197746,0,3
1484201345,0,1
1484230156,1,0
1484266162,7,0
1484276944,0,16
1484280541,1,1
1484294939,0,1
1484338156,1,0
1484348951,0,1
1484356141,19,0
1484359740,1,1
1484366930,0,22
1484370539,0,1
1484374137,0,1
1484381347,0,1
1484384929,1,0
1484392126,0,1
1484406524,1,0
1484414082,0,1
1484428562,0,1
1484442548,19,0
1484453337,0,19
1484456926,1,0
1484471326,0,1
1484528922,18,0
1484532545,2,0
1484536148,0,1
1484539721,0,9
1484546949,0,2
1484554131,1,0
1484579340,0,1
1484582933,1,0
1484593761,1,1
1484608138,0,1
1484611742,1,0
1484615331,25,0
1484618940,1,0
1484626142,0,18
1484633336,1,1
1484647734,0,1
1484701740,12,0
1484712553,0,14
1484716151,0,1
1484755750,1,0
1484774685,1,0
1484781593,0,1
1484784542,0,4
1484788144,19,0
1484791748,2,0
1484795346,1,0
1484798942,0,19
1484834968,1,0
1484871008,24,0
1484878152,2,2
1484881773,0,26
1484892552,0,1
1484921345,1,0
1484957350,1,0
1484960952,15,0
1484968146,1,0
1484971753,0,13
1484975355,0,1
1485014959,0,1
1485036541,1,0
1485047348,11,0
1485058149,0,19
1485061744,0,1
1485065367,0,1
1485094147,0,1
1485097747,1,0
1485101344,0,1
1485130138,1,0
1485133739,15,0
1485137342,1,1
1485144534,0,24
1485151734,0,1
1485177123,1,0
1485191360,0,1
1485198578,1,0
1485212952,0,1
1485220176,23,0
1485223746,0,1
1485230934,0,15
1485234532,0,1
