DateTime,Entries,UniqueIPs
1473423873,17592,17592
1473467562,17652,17652
1473555397,17737,17737
1473599068,17770,17770
1473642758,17817,17817
1473686673,17864,17864
1473730355,17905,17905
1473774279,17950,17950
1473884192,18068,18068
1473927857,18103,18103
1473971553,18145,18145
1474015235,18182,18182
1474058908,18221,18221
1474102591,18249,18249
1474146269,18290,18290
1474190199,18313,18313
1474233865,18364,18364
1474277546,18385,18385
1474321228,18418,18418
1474386750,18460,18460
1474430498,18490,18490
1474474350,18517,18517
1474518033,18541,18541
1474561712,18577,18577
1474605385,18599,18599
1474649055,18630,18630
1474692759,18654,18654
1474758513,18699,18699
1474824031,18743,18743
1474867705,18762,18762
1474911383,18795,18795
1474976916,18825,18825
1475020582,18865,18865
1475064267,18890,18890
1475107948,18920,18920
1475151871,18943,18943
1475195546,18967,18967
1475239220,18991,18991
1475282900,19023,19023
1475326586,19050,19050
1475370275,19073,19073
1475413957,19102,19102
1475457623,19128,19128
1475501298,19153,19153
1475544985,19180,19180
1475588654,19210,19210
1475632343,19241,19241
1475676064,19275,19275
1475719707,19299,19299
1475763636,19322,19322
1475807303,19343,19343
1475851005,19376,19376
1475894659,19400,19400
1475938346,19426,19426
1475982063,19456,19456
1476025713,19481,19481
1476069393,19502,19502
1476113073,19526,19526
1476156746,19548,19548
1476200750,19571,19571
1476244599,19583,19583
1476288270,19610,19610
1476331950,19636,19636
1476375620,19663,19663
1476419320,19682,19682
1476462988,19717,19717
1476506658,19741,19741
1476550359,19781,19781
1476594070,19833,19833
1476637710,19881,19881
1476681390,19917,19917
1476725072,19981,19981
1476768755,20031,20031
1476812432,20095,20095
1476856110,20149,20149
1476900166,20211,20211
1476943960,20257,20257
1476987627,20344,20344
1477031309,20398,20398
1477074993,20476,20476
1477118656,20528,20528
1477162351,20597,20597
1477206068,20642,20642
1477249766,20705,20705
1477293427,20754,20754
1477337316,20842,20842
1477380998,20908,20908
1477424663,5068,5068
1477468346,5127,5127
1477512068,5221,5221
1477555707,5282,5282
1477599391,5367,5367
1477643049,5424,5424
1477686750,5504,5504
1477730415,5542,5542
1477774103,5610,5610
1477817781,5652,5652
1477861490,5740,5740
1477905143,5796,5796
1477948828,5868,5868
1477992501,5905,5905
1478036176,5965,5965
1478079866,6021,6021
1478123545,6100,6100
1478167279,6157,6157
1478210905,6230,6230
1478254840,6268,6268
1478298508,6334,6334
1478342185,6383,6383
1478385859,6454,6454
1478429554,6504,6504
1478473272,6569,6569
1478516903,6609,6609
1478560581,6678,6678
1478604250,6738,6738
1478647957,6802,6802
1478691619,6849,6849
1478735313,6902,6902
1478778993,6947,6947
1478822671,7009,7009
1478866349,7055,7055
1478910020,7100,7100
1478953707,7160,7160
1478997389,7217,7217
1479041053,7258,7258
1479084849,7318,7318
1479128484,7368,7368
1479172128,7442,7442
1479216039,7498,7498
1479259706,7555,7555
1479303386,7597,7597
1479347057,7653,7653
1479390747,7693,7693
1479434475,7735,7735
1479478099,7783,7783
1479521787,7847,7847
1479565469,7893,7893
1479609160,7947,7947
1479652820,8005,8005
1479696516,8057,8057
1479740185,8096,8096
1479783890,8150,8150
1479827556,8211,8211
1479871234,8247,8247
1479915174,8298,8298
1479958833,8359,8359
1480002497,8412,8412
1480046183,8453,8453
1480090121,8509,8509
1480133796,8545,8545
1480177450,8599,8599
1480221146,8637,8637
1480264835,8685,8685
1480308521,8734,8734
1480352192,8778,8778
1480395871,8833,8833
1480439537,8890,8890
1480483235,8944,8944
1480526899,8991,8991
1480570581,9021,9021
1480614328,9090,9090
1480658182,9138,9138
1480701864,9196,9196
1480745542,9239,9239
1480789249,9293,9293
1480832916,9334,9334
1480876584,9404,9404
1480920261,9445,9445
1480963943,9485,9485
1481007928,9528,9528
1481052744,9582,9582
1481097679,9617,9617
1481141356,9693,9693
1481184985,9737,9737
1481228915,9800,9800
1481272583,9837,9837
1481316256,9901,9901
1481359939,9936,9936
1481403704,9990,9990
1481447332,10017,10017
1481490986,10084,10084
1481534664,10121,10121
1481578377,10172,10172
1481622039,10225,10225
1481665718,10280,10280
1481709394,10322,10322
1481753327,10397,10397
1481796983,10451,10451
1481840668,10522,10522
1481884342,10554,10554
1481928016,10622,10622
1481971700,10658,10658
1482015380,10706,10706
1482059074,10747,10747
1482102996,10815,10815
1482146670,10852,10852
1482190341,10905,10905
1482234057,10940,10940
1482277703,10989,10989
1482321686,11030,11030
1482365319,11083,11083
1482409249,11130,11130
1482453172,11191,11191
1482496843,11231,11231
1482540520,11265,11265
1482584175,11300,11300
1482628119,11337,11337
1482672053,11372,11372
1482715701,11414,11414
1482759403,11447,11447
1482803064,11497,11497
1482846761,11547,11547
1482890505,11598,11598
1482934612,11647,11647
1482978250,11723,11723
1483021941,11776,11776
1483065629,11831,11831
1483109301,11897,11897
1483152986,11943,11943
1483196681,11997,11997
1483240339,12048,12048
1483284024,12095,12095
1483327699,12150,12150
1483371392,12212,12212
1483415062,12276,12276
1483458749,12342,12342
1483502491,12409,12409
1483546359,12483,12483
1483590043,12557,12557
1483633710,12613,12613
1483677387,12660,12660
1483721056,12730,12730
1483764778,12789,12789
1483808471,12854,12854
1483852369,12913,12913
1483896278,12978,12978
1483939978,13027,13027
1483983879,13095,13095
1484027571,13144,13144
1484071276,13205,13205
1484115191,13256,13256
1484158827,13321,13321
1484202505,13385,13385
1484246201,13452,13452
1484289862,13508,13508
1484333540,13576,13576
1484377287,13621,13621
1484420934,13680,13680
1484464593,13723,13723
1484508263,13810,13810
1484551970,13878,13878
1484595639,13966,13966
1484639314,14023,14023
1484682999,14117,14117
1484726928,14188,14188
1484770617,14275,14275
1484814253,14336,14336
1484857968,14428,14428
1484901635,14494,14494
1484945581,14591,14591
1484989305,14654,14654
1485032933,14754,14754
1485076842,14821,14821
1485120512,14887,14887
1485164185,14950,14950
1485207867,15055,15055
1485251548,15105,15105
1485295337,15197,15197
1485339150,15250,15250
1485382821,15334,15334
1485426506,15400,15400
1485470195,15474,15474
1485513870,15535,15535
1485557550,15615,15615
1485601282,15677,15677
1485644936,15774,15774
1485688854,15826,15826
1485732508,15915,15915
1485776188,15972,15972
1485819863,16068,16068
1485864157,16125,16125
1485908233,16214,16214
1485952125,16281,16281
1485996051,16367,16367
1486039715,16432,16432
1486083379,16503,16503
1486127320,16570,16570
1486171025,16652,16652
1486214921,16696,16696
1486258587,16782,16782
1486302288,16847,16847
1486345953,16923,16923
1486389691,16989,16989
1486433557,17051,17051
1486477240,17108,17108
1486520907,17170,17170
1486564608,17225,17225
1486608273,17290,17290
1486651971,17342,17342
1486695723,17399,17399
1486739557,17459,17459
1486783250,17501,17501
1486826920,17531,17531
1486870580,17565,17565
1486914259,17595,17595
1486957958,17628,17628
1487001688,17666,17666
1487045568,17706,17706
1487089224,17744,17744
1487132926,17787,17787
1487176611,17838,17838
1487220265,17875,17875
1487263950,17908,17908
1487307693,17942,17942
1487351568,17975,17975
1487395236,18009,18009
1487438920,18044,18044
1487482596,18072,18072
1487526279,18110,18110
1487569948,18133,18133
1487613685,18164,18164
1487657562,18200,18200
1487701230,18241,18241
1487744924,18277,18277
1487788608,18310,18310
1487832264,18333,18333
1487875938,18372,18372
