DateTime,AddedIPs,RemovedIPs
1484431706,1,0
1484435069,0,1
1484442253,1,0
1484456651,0,1
1484460254,1,0
1484463843,0,1
1484471044,1,0
1484485457,0,1
1484489048,1,0
1484492653,1,0
1484496245,0,2
1484503450,1,1
1484510648,0,3
1484518115,1,1
1484528640,1,0
1484532245,0,1
1484535858,0,1
1484539437,1,0
1484557442,1,0
1484571848,0,2
1484575448,1,0
1484589849,0,1
1484593463,1,0
1484600644,0,1
1484604246,1,0
1484607844,0,1
1484611430,1,0
1484625849,0,1
1484629450,1,0
1484643844,1,0
1484647440,0,1
1484651049,1,0
1484654647,0,2
1484658239,0,1
1484661845,1,1
1484669273,2,0
1484672647,1,1
1484679839,1,0
1484683443,1,1
1484687040,1,1
1484701459,0,1
1484705059,1,0
1484708658,0,1
1484726666,0,1
1484733858,2,0
1484741057,0,1
1484748262,1,1
1484777302,0,2
1484780985,1,0
1484784236,1,0
1484787850,0,1
1484791452,1,0
1484798656,1,1
1484805857,0,1
1484813050,1,0
1484820261,1,0
1484831052,0,1
1484841866,0,1
1484845464,1,0
1484856258,2,0
1484859858,0,1
1484881465,1,2
1484885058,1,0
1484888650,1,0
1484892247,1,2
1484895859,0,1
1484903053,0,1
1484906655,0,1
1484910260,2,1
1484921049,1,0
1484928253,1,0
1484931853,0,1
1484935457,1,0
1484957043,0,2
1484960653,1,0
1484964260,1,0
1484967849,0,2
1484971455,2,0
1484975048,0,1
1484982256,1,0
1484989452,1,1
1484993058,0,1
1484996651,0,1
1485000259,1,0
1485003875,1,1
1485018257,1,0
1485021855,1,1
1485025451,2,2
1485029054,1,1
1485032658,1,1
1485036249,1,0
1485039856,0,1
1485043438,0,1
1485050650,1,2
1485054248,0,1
1485057855,3,0
1485065068,1,1
1485072253,0,3
1485075852,0,1
1485079457,1,0
1485083049,1,2
1485086656,1,0
1485090253,1,0
1485101055,1,1
1485115453,1,0
1485119048,1,0
1485122654,1,0
1485126243,0,1
1485129841,0,1
1485144243,0,1
1485147839,1,0
1485155052,1,0
1485158656,0,2
1485162242,0,1
1485165843,1,0
1485176799,0,1
1485180259,1,0
1485183834,0,1
1485187449,1,0
1485191044,1,0
1485198262,1,0
1485201847,0,3
1485205533,1,0
1485212645,0,1
1485219852,0,1
1485227043,1,0
1485241568,0,1
1485252242,0,1
1485255844,1,0
1485266643,0,1
1485270253,1,1
1485273849,1,0
1485281041,1,0
1485288245,0,1
1485291834,1,1
1485295439,1,1
1485306242,0,1
1485317045,1,0
1485335060,1,1
1485338645,1,0
1485349451,0,1
1485353045,0,1
1485356644,1,0
1485363863,1,1
1485367496,1,0
1485371193,1,0
1485378250,0,1
1485385448,0,1
1485389040,0,1
1485392651,1,0
1485396251,0,1
1485399848,1,0
1485407040,1,0
1485414279,0,1
1485425056,1,0
1485435852,0,1
1485439449,1,1
1485453851,0,1
1485457458,1,0
1485471851,0,1
1485479131,1,0
1485489967,1,0
1485493539,1,0
1485500667,0,1
1485507897,0,1
1485511465,0,1
1485518661,1,1
1485526311,1,0
1485529624,1,0
1485547491,1,0
1485554683,0,1
1485561893,1,1
1485576457,0,2
1485587051,1,0
1485597893,1,0
1485612257,0,1
1485623849,0,1
1485627067,1,0
1485648482,1,0
1485655561,0,1
1485659147,1,0
1485662705,0,1
1485680675,1,0
1485695065,0,1
1485705859,0,1
1485709459,1,1
1485720260,1,0
1485723857,1,0
1485727457,1,0
1485738252,0,1
1485741850,0,1
1485774255,0,1
1485777857,1,0
1485792260,0,1
1485803561,1,0
1485825071,0,2
1485828377,1,0
1485835453,1,0
1485842655,0,1
1485846254,0,1
1485857059,1,0
1485896724,1,0
1485911055,0,1
1485918252,0,1
1485925447,1,0
1485936263,0,1
1485943453,1,0
1485975845,0,1
1485979455,1,0
1486029855,0,1
1486033453,1,0
1486073105,1,0
1486087444,0,1
1486094641,0,1
1486101842,1,0
1486224251,0,1
1486245866,1,0
1486249446,1,0
1486263849,0,1
1486314259,0,1
1486317868,1,0
1486346658,0,1
1486350256,1,0
1486368247,0,1
1486371852,1,0
1486389849,0,1
1486397047,1,0
1486422250,0,1
1486425845,1,0
1486429463,1,0
1486443850,0,1
1486458252,0,2
1486461851,1,0
1486476247,1,0
1486508647,0,1
1486512232,1,1
1486515855,1,0
1486526651,0,1
1486533855,1,0
1486569847,0,1
1486580657,1,0
1486598640,1,0
1486609449,1,0
1486613045,0,1
1486739046,0,1
1486742651,1,0
1486753444,0,1
1486757043,1,0
1486778651,1,0
1486793052,0,1
1486818255,0,1
1486821855,1,0
1486832654,0,1
1486836250,0,1
1486839853,1,0
1486854255,1,0
1486879447,0,2
1486883067,2,0
1486904655,0,1
1486911848,1,0
1486933448,0,1
1486937049,1,0
1486947859,0,1
1486955048,2,0
1486969456,0,1
1487048647,0,1
1487058389,1,0
1487074609,1,0
1487077454,0,1
1487081047,1,0
1487084653,0,1
1487088253,1,0
1487102848,1,0
1487109854,0,1
1487113452,1,0
1487117036,0,1
1487127852,1,1
1487131456,1,0
1487142269,0,1
1487185453,0,1
1487189048,1,0
1487196253,0,1
1487199851,1,0
1487207042,0,1
1487214249,1,0
1487246653,0,1
1487250489,1,0
1487254251,0,1
1487261335,0,1
1487279059,1,0
1487304261,1,0
1487318657,0,1
1487336648,0,1
1487340252,1,0
1487354647,0,2
1487358247,1,0
1487365440,1,0
1487437448,0,1
1487441056,1,0
1487480676,1,0
1487495050,0,1
1487498674,0,1
1487502257,1,0
1487527452,0,1
1487531054,1,0
1487545477,0,1
1487556250,1,0
1487567049,0,1
1487570657,1,0
1487577865,0,1
1487588651,1,0
1487657055,1,0
1487671454,0,1
1487675049,0,1
1487678656,1,0
1487703853,0,1
1487711049,1,1
1487714648,1,0
1487725451,0,1
1487729054,1,0
1487743458,0,1
1487750655,1,0
1487775862,0,1
1487779452,1,0
1487797454,0,1
1487801059,1,0
1487829848,0,1
1487833447,1,0
1487837049,1,0
1487847846,0,1
1487858651,0,1
1487865848,1,0
